idx | offset    | size_kb | sub# | kmd_ptr   | type      | hash16
-------------------------------------------------------------------------------------
  0 | 0x00000000 |     753 |  15  | 0x00000150 | CHARACTER   | ba47dc3a
  1 | 0x000BC420 |     844 |  15  | 0x00000150 | CHARACTER   | ba47dc3a
  2 | 0x0018F7A0 |    1134 |  19  | 0x00000150 | CHARACTER   | f9551eb1
  3 | 0x002AB040 |    2790 |  19  | 0x00000150 | CHARACTER   | fb3bfe09
  4 | 0x005648D0 |    1070 |  23  | 0x00000150 | CHARACTER   | ba47dc3a
  5 | 0x00670140 |    1325 |  25  | 0x00000150 | CHARACTER   | cbbb5160
  6 | 0x007BB5A0 |    2082 |  27  | 0x00000150 | CHARACTER   | 4e6e60b7
  7 | 0x009C3F90 |    1292 |  25  | 0x00000150 | CHARACTER   | 2f30b47f
  8 | 0x00B07020 |    2443 |  25  | 0x00000150 | CHARACTER   | 97646647
  9 | 0x00D69ED0 |    1175 |  18  | 0x00000150 | CHARACTER   | 88c86f07
 10 | 0x00E8FC60 |    1086 |  14  | 0x00000150 | CHARACTER   | ba47dc3a
 11 | 0x00F9F7F0 |    1240 |  13  | 0x00000150 | CHARACTER   | 53e8b1c3
 12 | 0x010D5AF0 |    1192 |  13  | 0x00000150 | CHARACTER   | 5d63d16c
 13 | 0x011FFD90 |     490 |  13  | 0x00000150 | CHARACTER   | ba47dc3a
 14 | 0x0127A900 |    1190 |  19  | 0x00000150 | CHARACTER   | c3808578
 15 | 0x013A41E0 |     519 |  16  | 0x00000150 | CHARACTER   | ba47dc3a
 16 | 0x014260A0 |     714 |  14  | 0x00000150 | CHARACTER   | ba47dc3a
 17 | 0x014D89C0 |     645 |  17  | 0x00000150 | CHARACTER   | 907b91b5
 18 | 0x01579F00 |    1499 |  20  | 0x00000150 | CHARACTER   | c43a34ad
 19 | 0x016F0C20 |     698 |  10  | 0x00000150 | small-char  | 41baea2e
 20 | 0x0179F570 |     811 |   9  | 0x00000150 | small-char  | ba47dc3a
 21 | 0x0186A310 |     693 |  15  | 0x00000150 | CHARACTER   | ba47dc3a
 22 | 0x01917A80 |    1605 |  18  | 0x00000150 | CHARACTER   | 497f91a4
 23 | 0x01AA8F10 |    1139 |  21  | 0x00000150 | CHARACTER   | ce9af065
 24 | 0x01BC5B40 |     848 |  23  | 0x00000150 | CHARACTER   | 76abd3a1
