elf_va,pnach_addr_off,pnach_addr_size,chara_offset,true_size,slot_idx,heuristic_name
0x433040,20433040,20433044,0x000BC420,0x000D3380,1,Ayame
0x433058,20433058,2043305C,0x0018F7A0,0x0011B8A0,2,Tesshu
0x433070,20433070,20433074,0x002AB040,0x00112A80,3,Rikimaru (Cinematic)
0x433088,20433088,2043308C,0x0018F7A0,0x0011B8A0,2,Tesshu
0x4330A0,204330A0,204330A4,0x002AB040,0x00112A80,3,Rikimaru (Cinematic)
0x4330B8,204330B8,204330BC,0x00670140,0x0014B460,5,Tatsumaru
0x4330D0,204330D0,204330D4,0x007BB5A0,0x0015D9D0,6,Kagami
0x4330E8,204330E8,204330EC,0x007BB5A0,0x0015D9D0,6,Kagami
0x433100,20433100,20433104,0x009C3F90,0x00143090,7,Genbu
0x433118,20433118,2043311C,0x00B07020,0x00156D80,8,Suzaku
0x433130,20433130,20433134,0x009C3F90,0x00143090,7,Genbu
0x433148,20433148,2043314C,0x00B07020,0x00156D80,8,Suzaku
0x433160,20433160,20433164,0x00D69ED0,0x00125D90,9,Byakko
0x433178,20433178,2043317C,0x00F9F7F0,0x000F8D20,11,Lord Gohda
0x433190,20433190,20433194,0x010D5AF0,0x00101A10,12,Princess Kiku
0x4331A8,204331A8,204331AC,0x0127A900,0x000D3E80,14,MP Character B
0x4331C0,204331C0,204331C4,0x014D89C0,0x000A1540,17,MP Character E
0x4331D8,204331D8,204331DC,0x01579F00,0x0011ADE0,18,MP Character F
0x4331F0,204331F0,204331F4,0x016F0C20,0x000AE950,19,Guard (Light)
0x433208,20433208,2043320C,0x01917A80,0x00118660,22,Samurai (Officer)
0x433220,20433220,20433224,0x01AA8F10,0x000CF090,23,Ninja (Standard)
0x433238,20433238,2043323C,0x01BC5B40,0x000D4100,24,Ninja (Elite)
0x433250,20433250,20433254,0x023B48C0,0x000E9760,35,Prop/Weapon #03
0x433268,20433268,2043326C,0x01ED9010,0x000F8D50,28,Civilian (Adult F)
0x433280,20433280,20433284,0x01FFBE40,0x000867B0,29,Civilian (Old)
0x433298,20433298,2043329C,0x020825F0,0x000C46E0,30,Civilian (Child)
0x4332C8,204332C8,204332CC,0x02151450,0x00085AC0,31,Civilian (Variant)
0x4332E0,204332E0,204332E4,0x02226620,0x0004BD00,32,Civilian (Lite)
0x4332F8,204332F8,204332FC,0x02272320,0x00070BE0,33,Prop/Weapon #01
0x433310,20433310,20433314,0x023B48C0,0x000E9760,35,Prop/Weapon #03
0x433328,20433328,2043332C,0x024E09E0,0x000F6370,36,Prop/Weapon #04
0x433340,20433340,20433344,0x025ED780,0x00076DF0,37,Prop/Weapon #05
0x433388,20433388,2043338C,0x0270A600,0x0006EAD0,38,Prop/Weapon #06
0x4333A0,204333A0,204333A4,0x027790D0,0x0006BF20,39,Prop/Weapon #07
0x4333B8,204333B8,204333BC,0x02835D10,0x0006C6C0,40,Prop/Weapon #08
0x4333D0,204333D0,204333D4,0x028C2690,0x00069030,41,Prop/Weapon #09
0x4333E8,204333E8,204333EC,0x0292B6C0,0x00073670,42,Prop/Weapon #10
0x433400,20433400,20433404,0x0299ED30,0x000690E0,43,Prop/Weapon #11
0x433418,20433418,2043341C,0x02A34710,0x0003C4E0,44,Prop/Weapon #12
0x433430,20433430,20433434,0x02A7F420,0x00067670,45,Prop/Weapon #13
0x433448,20433448,2043344C,0x02B0EA90,0x000735F0,46,Prop/Weapon #14
0x433460,20433460,20433464,0x02BD95B0,0x000148E0,47,Prop/Weapon #15
0x433478,20433478,2043347C,0x02C17090,0x0006B180,48,Prop/Weapon #16
0x433490,20433490,20433494,0x02CB3520,0x00061940,49,Prop/Weapon #17
0x4334A8,204334A8,204334AC,0x02D24590,0x00049660,50,Prop/Weapon #18
0x4334C0,204334C0,204334C4,0x02D8E410,0x00049E80,51,Prop/Weapon #19
0x4334D8,204334D8,204334DC,0x02DD8290,0x00044F20,52,Prop/Weapon #20
0x4334F0,204334F0,204334F4,0x02E1D1B0,0x00069410,53,Prop/Weapon #21
